Component	Property	XmlTag	MinOccurs	MaxOccurs	CSharpType	Status
IntraPositionDetails3	IntraPositionMovement	IntraPosMvmnt	1	*	ValueList<IntraPositionMovementDetails1>	ProvisionallyRegistered
IntraPositionDetails32	IntraPositionMovement	IntraPosMvmnt	1	*	ValueList<IntraPositionMovementDetails11>	ProvisionallyRegistered
IntraPositionDetails37	IntraPositionMovement	IntraPosMvmnt	1	*	ValueList<IntraPositionMovementDetails12>	ProvisionallyRegistered
IntraPositionDetails40	IntraPositionMovement	IntraPosMvmnt	1	*	ValueList<IntraPositionMovementDetails13>	ProvisionallyRegistered
IntraPositionDetails44	IntraPositionMovement	IntraPosMvmnt	1	*	ValueList<IntraPositionMovementDetails14>	ProvisionallyRegistered
IntraPositionDetails45	IntraPositionMovement	IntraPosMvmnt	1	*	ValueList<IntraPositionMovementDetails15>	ProvisionallyRegistered
IntraPositionDetails48	IntraPositionMovement	IntraPosMvmnt	1	*	ValueList<IntraPositionMovementDetails16>	ProvisionallyRegistered
IntraPositionDetails51	IntraPositionMovement	IntraPosMvmnt	1	*	ValueList<IntraPositionMovementDetails17>	ProvisionallyRegistered
IntraPositionDetails54	IntraPositionMovement	IntraPosMvmnt	1	*	ValueList<IntraPositionMovementDetails18>	ProvisionallyRegistered
IntraPositionDetails57	IntraPositionMovement	IntraPosMvmnt	1	*	ValueList<IntraPositionMovementDetails19>	ProvisionallyRegistered
IntraPositionDetails63	IntraPositionMovement	IntraPosMvmnt	1	*	ValueList<IntraPositionMovementDetails20>	ProvisionallyRegistered
IntraPositionDetails66	IntraPositionMovement	IntraPosMvmnt	1	*	ValueList<IntraPositionMovementDetails21>	ProvisionallyRegistered
IntraPositionMovements6	Movement	Mvmnt	1	*	ValueList<IntraPositionMovement10>	ProvisionallyRegistered
IntraPositionPending11	Movement	Mvmnt	1	*	ValueList<IntraPositionPending12>	ProvisionallyRegistered
InvestmentFundOrder1	OrderReferences	OrdrRefs	1	*	ValueList<InvestmentFundOrder5>	ProvisionallyRegistered
InvestmentFundOrderExecution1	OrderReferences	OrdrRefs	1	*	ValueList<InvestmentFundOrderExecution2>	ProvisionallyRegistered
InvestmentFundTransactionsByFund1	TransactionDetails	TxDtls	1	*	ValueList<InvestmentFundTransaction2>	ProvisionallyRegistered
InvestmentFundTransactionsByFund2	TransactionDetails	TxDtls	1	*	ValueList<InvestmentFundTransaction3>	ProvisionallyRegistered
InvestmentFundTransactionsByFund3	TransactionDetails	TxDtls	1	*	ValueList<InvestmentFundTransaction4>	ProvisionallyRegistered
InvestmentPlan10	SecurityDetails	SctyDtls	1	50	ValueList<Repartition3>	ProvisionallyRegistered
InvestmentPlan11	SecurityDetails	SctyDtls	1	50	ValueList<Repartition3>	ProvisionallyRegistered
InvestmentPlan12	SecurityDetails	SctyDtls	1	50	ValueList<Repartition4>	ProvisionallyRegistered
InvestmentPlan13	SecurityDetails	SctyDtls	1	50	ValueList<Repartition4>	ProvisionallyRegistered
InvestmentPlan14	SecurityDetails	SctyDtls	1	50	ValueList<Repartition5>	ProvisionallyRegistered
InvestmentPlan15	SecurityDetails	SctyDtls	1	50	ValueList<Repartition5>	ProvisionallyRegistered
InvestmentPlan16	SecurityDetails	SctyDtls	1	50	ValueList<Repartition6>	ProvisionallyRegistered
InvestmentPlan17	SecurityDetails	SctyDtls	1	50	ValueList<Repartition6>	ProvisionallyRegistered
InvestmentPlan4	SecurityDetails	SctyDtls	1	50	ValueList<Repartition1>	ProvisionallyRegistered
InvestmentPlan5	SecurityDetails	SctyDtls	1	50	ValueList<Repartition1>	ProvisionallyRegistered
InvestmentPlan6	SecurityDetails	SctyDtls	1	50	ValueList<Repartition2>	ProvisionallyRegistered
InvestmentPlan7	SecurityDetails	SctyDtls	1	50	ValueList<Repartition2>	ProvisionallyRegistered
InvestmentPlan8	SecurityDetails	SctyDtls	1	50	ValueList<Repartition2>	ProvisionallyRegistered
InvestmentPlan9	SecurityDetails	SctyDtls	1	50	ValueList<Repartition2>	ProvisionallyRegistered
InvoiceTotals8	ServiceCategoryTotals	SvcCtgyTtls	1	*	ValueList<ServiceCategoryTotals7>	ProvisionallyRegistered
LineItem11	LineItemDetails	LineItmDtls	1	*	ValueList<LineItemDetails10>	ProvisionallyRegistered
LineItem12	CommercialLineItems	ComrclLineItms	1	*	ValueList<LineItemDetails11>	ProvisionallyRegistered
LineItem13	LineItemDetails	LineItmDtls	1	*	ValueList<LineItemDetails13>	ProvisionallyRegistered
LineItem14	LineItemDetails	LineItmDtls	1	*	ValueList<LineItemDetails12>	ProvisionallyRegistered
LineItem15	CommercialLineItems	ComrclLineItms	1	*	ValueList<LineItemDetails14>	ProvisionallyRegistered
LineItem7	LineItemDetails	LineItmDtls	1	*	ValueList<LineItemDetails7>	ProvisionallyRegistered
LineItem8	LineItemDetails	LineItmDtls	1	*	ValueList<LineItemDetails8>	ProvisionallyRegistered
LineItem9	CommercialLineItems	ComrclLineItms	1	*	ValueList<LineItemDetails9>	ProvisionallyRegistered
LineItemAndPOIdentification1	LineItemIdentification	LineItmId	1	*	SimpleValueList<string>	ProvisionallyRegistered
LiquidResources1	CashDue	CshDue	1	*	ValueList<LiquidResourceInformation1>	ProvisionallyRegistered
LiquidityStressTestResult1	LiquidityRequiredAndAvailable	LqdtyReqrdAndAvlbl	6	6	ValueList<LiquidityRequiredAndAvailable1>	ProvisionallyRegistered
LoanContract1	Buyer	Buyr	1	*	ValueList<TradeParty2>	ProvisionallyRegistered
LoanContract1	Seller	Sellr	1	*	ValueList<TradeParty2>	ProvisionallyRegistered
LoanContract2	Buyer	Buyr	1	*	ValueList<TradeParty5>	ProvisionallyRegistered
LoanContract2	Seller	Sellr	1	*	ValueList<TradeParty5>	ProvisionallyRegistered
LoanContract3	Buyer	Buyr	1	*	ValueList<TradeParty5>	ProvisionallyRegistered
LoanContract3	Seller	Sellr	1	*	ValueList<TradeParty5>	ProvisionallyRegistered
LoanContract4	Buyer	Buyr	1	*	ValueList<TradeParty6>	ProvisionallyRegistered
LoanContract4	Seller	Sellr	1	*	ValueList<TradeParty6>	ProvisionallyRegistered
LocalMarketAnnex2	Country	Ctry	1	*	SimpleValueList<string>	ProvisionallyRegistered
LocalMarketAnnex2	SettlementDetails	SttlmDtls	1	*	ValueList<CashAccount22>	ProvisionallyRegistered
LocalMarketAnnex3	Country	Ctry	1	*	SimpleValueList<string>	ProvisionallyRegistered
LocalMarketAnnex4	Country	Ctry	1	*	SimpleValueList<string>	ProvisionallyRegistered
LocalMarketAnnex5	Country	Ctry	1	*	SimpleValueList<string>	ProvisionallyRegistered
LocalMarketAnnex6	Country	Ctry	1	*	ValueList<CountryCode>	ProvisionallyRegistered
LoginRequest1	SaleSoftware	SaleSftwr	1	*	ValueList<PointOfInteractionComponent9>	ProvisionallyRegistered
LoginRequest2	SaleSoftware	SaleSftwr	1	*	ValueList<PointOfInteractionComponent10>	ProvisionallyRegistered
LoginRequest3	SaleSoftware	SaleSftwr	1	*	ValueList<PointOfInteractionComponent11>	ProvisionallyRegistered
LoginRequest4	SaleSoftware	SaleSftwr	1	*	ValueList<PointOfInteractionComponent12>	ProvisionallyRegistered
LoginRequest5	SaleSoftware	SaleSftwr	1	*	ValueList<PointOfInteractionComponent14>	ProvisionallyRegistered
LoginRequest6	SaleSoftware	SaleSftwr	1	*	ValueList<PointOfInteractionComponent15>	ProvisionallyRegistered
LoginRequest7	SaleSoftware	SaleSftwr	1	*	ValueList<PointOfInteractionComponent17>	ProvisionallyRegistered
LoginRequest8	SaleSoftware	SaleSftwr	1	*	ValueList<PointOfInteractionComponent18>	ProvisionallyRegistered
LoginResponse1	POISoftware	POISftwr	1	*	ValueList<PointOfInteractionComponent9>	ProvisionallyRegistered
LoginResponse2	POISoftware	POISftwr	1	*	ValueList<PointOfInteractionComponent10>	ProvisionallyRegistered
LoginResponse3	POISoftware	POISftwr	1	*	ValueList<PointOfInteractionComponent11>	ProvisionallyRegistered
LoginResponse4	POISoftware	POISftwr	1	*	ValueList<PointOfInteractionComponent12>	ProvisionallyRegistered
LoginResponse5	POISoftware	POISftwr	1	*	ValueList<PointOfInteractionComponent14>	ProvisionallyRegistered
LoginResponse6	POISoftware	POISftwr	1	*	ValueList<PointOfInteractionComponent15>	ProvisionallyRegistered
LoginResponse7	POISoftware	POISftwr	1	*	ValueList<PointOfInteractionComponent17>	ProvisionallyRegistered
LoginResponse8	POISoftware	POISftwr	1	*	ValueList<PointOfInteractionComponent18>	ProvisionallyRegistered
MaintenanceDelegation1	MaintenanceService	MntncSvc	1	*	SimpleValueList<DataSetCategory6Code>	ProvisionallyRegistered
MaintenanceDelegation10	MaintenanceService	MntncSvc	1	*	SimpleValueList<DataSetCategory15Code>	ProvisionallyRegistered
MaintenanceDelegation11	MaintenanceService	MntncSvc	1	*	SimpleValueList<DataSetCategory16Code>	ProvisionallyRegistered
MaintenanceDelegation12	MaintenanceService	MntncSvc	1	*	SimpleValueList<DataSetCategory16Code>	ProvisionallyRegistered
